Chapter,Clause,Content,Length
共同供應契約實施辦法,第二條 ,本法第九十三條第一項所稱具有共通需求特性之財物或勞務，指該財物或勞務於二以上機關均有需求者。本法第九十三條第一項所稱共同供應契約（以下簡稱本契約），指一機關為二以上機關具有共通需求特性之財物或勞務與廠商簽訂契約，使該機關及其他適用本契約之機關均得利用本契約辦理採購者。,134
共同供應契約實施辦法,第三條 ,本辦法所稱訂約機關，指與廠商簽訂本契約之機關。本辦法所稱適用機關，指本契約所列可依本契約下訂之機關。,50
共同供應契約實施辦法,第四條 1,機關辦理本契約之採購，應先辦理需求調查。但已有前例或可合理評估需求者，不在此限。機關辦理本契約之招標文件，除法令另有規定者外，應視需要載明下列事項：一、招標標的之名稱、技術規格、供應區域、預估採購總數量或總金額、各標的投標單價上限金額、各標的每次最低採購數量或金額、各標的每次最高採購數量或金額、報價條件、通知得標廠商供應之程序、訂約廠商每次供應之履約期限、包裝、驗收、保固、爭議處理或其他商業條款。二、價格及履約期限得因地區而異者，其所適用之各個地區。機關依前項第一款於招標文件載明各標的投標單價上限金額者，應一併載明廠商投標單價逾越上限金額者，不得作為該標的之決標對象。,287
共同供應契約實施辦法,第四條 2,機關辦理本契約之採購，應先辦理需求調查。但已有前例或可合理評估需求者，不在此限。機關辦理本契約之招標文件，除法令另有規定者外，應視需要載明下列事項：三、本契約可供訂購之期間，及該期間屆滿或終止前發出之訂購通知均屬有效。四、廠商於本契約可供訂購之期間內對一般大眾之促銷或減讓活動，其價格或條件優於本契約時，應一併適用於適用機關。五、適用機關。,170
共同供應契約實施辦法,第四條 3,機關辦理本契約之採購，應先辦理需求調查。但已有前例或可合理評估需求者，不在此限。機關辦理本契約之招標文件，除法令另有規定者外，應視需要載明下列事項：六、適用機關以外之機關（以下簡稱其他機關），於徵得訂約廠商同意後，得利用本契約辦理採購，及其累計訂購金額之上限。七、本契約變更之程序及條件。八、終止或解除本契約之條件。九、訂約機關及廠商之名稱、地址、電話、電傳號碼及聯絡人（或單位）等資料。十、標明本契約係共同供應契約。十一、其他必要事項。,219
共同供應契約實施辦法,第五條 ,前條第二項第五款所稱適用機關，得為下列情形之一：一、二以上機關共同協議由其中一機關訂約者，為參與協議之各機關。二、由中央各部、會、行、處、局、署等機關或各直轄市、縣（市）政府指定機關訂約者，為指定機關及其所屬機關，及本契約內約定之適用機關。三、由本法主管機關指定機關訂約者，為中央機關。,143
共同供應契約實施辦法,第六條 ,適用機關之採購需求在本契約所載可供訂購之數量或金額範圍內，得利用本契約辦理採購；其各次訂購數量或金額，以本契約所載各標的每次最高採購數量或金額為限。機關利用本契約辦理訂購，需附加採購本契約以外之3標的者，應與訂購標的相關，且附加採購金額不得逾公告金額十分之一及訂購標的之金額。本契約之標的，有二家以上訂約廠商可供應者，機關擇定訂購對象，除本契約另有約定者外，以較符合機關需要者為原則。機關辦理查核金額以上之採購，不得利用本契約辦理訂購。但經上級機關核准者，不在此限。其他機關徵得訂約廠商同意後，利用本契約辦理採購者，適用前四項之規定。,267
共同供應契約實施辦法,第七條 ,本契約應公開於主管機關指定之資訊網站。,19
共同供應契約實施辦法,第八條 ,適用機關利用本契約辦理採購之程序，應由訂約機關於本契約內訂明；其方式得為下列情形之一：一、經由訂約機關為之。二、逕與訂約廠商為之。三、本契約規定之其他程序。適用機關辦理驗收及付款事宜，以逕與訂約廠商為之為原則。,105
共同供應契約實施辦法,第九條 ,本契約應明定，於可供訂購之期間，訂約廠商以更優惠之價格或條件供應本契約之標的於不特定對象者，訂約機關得與訂約廠商協議變更本契約。訂約廠商無合理事由而不減價者，訂約機關得終止契約。訂約機關於本契約可供訂購之期間，發現市場行情明顯下降時，應就訂約廠商供應標的之價格辦理查價，俾供訂約機關依前項規定辦理。適用機關發現本契約價格高於市場行情者，不得利用本契約辦理採購，並應通報訂約機關。其他機關利用本契約辦理採購前，應就一般市場符合需求之標的辦理查價。查價結果發現本契約之價格高於市場行情者，不得利用本契約辦理採購。4機關利用本契約辦理採購，得考量其於契約所載不同數量或金額級距下之訂購數量、金額或有別於本契約之條件，洽訂約廠商提供更優惠之價格或條件。,322
共同供應契約實施辦法,第十條 ,本契約應明定訂約廠商對適用本契約之機關，為無正當理由之差別待遇，或有可歸責於訂約廠商之事由而未能供應時，訂約機關得終止契約，並得請求損害賠償。,71
共同供應契約實施辦法,第十一條 ,本契約所載可供訂購之期間，包含後續擴充，最長以二年為限。訂約機關應控管本契約之總訂購金額，不得逾決標公告公開之預算金額。,60
共同供應契約實施辦法,第十二條 ,本契約關於統計資料之蒐集與彙報及依本法第一百零一條所為之通知等事項，由訂約機關統一處理為原則。,47
共同供應契約實施辦法,第十三條 ,履約爭議由與訂約廠商發生爭議之機關處理之。,21
共同供應契約實施辦法,第十四條 ,訂約機關辦理本契約，得向訂購機關或訂約廠商收取必要之費用。前項收取費用之計算方式，應載明於本契約之招標文件；其收取費用以不逾訂購金額之百分之一為原則，且應隨訂購金額或數量多寡訂定不同計算方式。,96
共同供應契約實施辦法,第十五條 ,本辦法自發布日施行。,10
共同投標辦法,第一條 ,本辦法依政府採購法(以下簡稱本法)第二十五條第六項規定訂定之。,31
共同投標辦法,第二條 ,共同投標，包括下列情形：一、同業共同投標：參加共同投標之廠商均屬同一行業者。二、異業共同投標：參加共同投標之廠商均為不同行業者。參加共同投標之廠商有二家以上屬同一行業者，視同同業共同投標。,94
共同投標辦法,第三條 ,本法第二十五條第一項所稱個別採購之特性，為下列情形之一：一、允許共同投標有利工作界面管理者。二、允許共同投標可促進競爭者。三、允許共同投標，以符合新工法引進或專利使用之需要者。四、其他經主管機關認定者。機關依前項採購之特性允許共同投標，其有同業共同投標之情形者，應符合本法第二十五條第四項之規定。,148
共同投標辦法,第四條 ,機關於招標文件中規定允許一定家數內之廠商共同投標者，以不超過五家為原則。機關並得就共同投標廠商各成員主辦事項之金額，於其共同投標協議書所載之比率下限予以限制。機關於招標文件中規定允許共同投標時，應並載明廠商得單獨投標。,109
共同投標辦法,第五條 ,機關允許共同投標時，得於招標文件中規定共同投標廠商各成員及代表廠商之基本資格。,39
共同投標辦法,第六條 ,機關辦理特殊或巨額之採購，允許共同投標時，得於招標文件中規定共同投標廠商各成員及代表廠商之特定資格。,50
共同投標辦法,第七條 ,機關允許共同投標時，應於招標文件中規定共同投標廠商之成員，不得對同一採購另行提出投標文件或為另一共同投標廠商之成員。但有下列情形之一者，不在此限：一、該採購涉及專利或特殊之工法或技術，為使擁有此等專利或工法、技術之廠商得為不同共同投標廠商之成員，以增加廠商競爭者。二、預估合於招標文件規定之投標廠商競爭不足，規定廠商不得為不同共同投標廠商之成員反不利競爭者。三、其他經主管機關認定者。,192
共同投標辦法,第八條 ,機關允許共同投標時，應於招標文件中規定共同投標廠商之投標文件應由各成員共同具名，或由共同投標協議書指定之代表人簽署。投標文件之補充或更正及契約文件之簽訂、補充或更正，亦同。,86
共同投標辦法,第九條 ,機關允許共同投標時，應於招標文件中規定，由共同投標廠商共同繳納押標金及保證金，或由共同投標協議書所指定之代表廠商繳納。其並須提供擔保者，亦同。,71
共同投標辦法,第十條 ,共同投標廠商於投標時應檢附由各成員之負責人或其代理人共同具名，且經公證或認證之共同投標協議書，載明下列事項，於得標後列入契約：一、招標案號、標的名稱、機關名稱及共同投標廠商各成員之名稱、地址、電話、負責人。二、共同投標廠商之代表廠商、代表人及其權責。三、各成員之主辦項目及所占契約金額比率。四、各成員於得標後連帶負履行契約責任。五、契約價金請(受)領之方式、項目及金額。六、成員有破產或其他重大情事，致無法繼續共同履約者，同意將其契約之一切權利義務由其他成員另覓之廠商或其他成員繼受。七、招標文件規定之其他事項。前項協議書內容與契約規定不符者，以契約規定為準。第一項協議書內容，非經機關同意不得變更。,300
共同投標辦法,第十一條 ,有前條第一項第六款之情事者，共同投標廠商之其他成員得經機關同意，共同提出與該成員原資格條件相當之廠商，共同承擔契約之一切權利義務。機關非有正當理由，不得拒絕。,79
共同投標辦法,第十二條 ,機關允許共同投標時，應於招標文件中規定共同投標協議書以中文書寫。但招標文件規定允許廠商共同投標，且該採購係外國廠商得參與者，涉及外國廠商之共同投標協議書，得以外文書寫，附經公證或認證之中文譯本，並於招標文件中訂明。,107
共同投標辦法,第十三條 ,機關允許共同投標時，應於招標文件中規定其對共同投標廠商之代表人之通知，與對共同投標廠商所有成員之通知具同等效力。,56
共同投標辦法,第十四條 ,機關允許共同投標時，應於招標文件中規定共同投標廠商於投標文件敘明契約價金由代表廠商統一請(受)領，或由各成員分別請(受)領；其屬分別請(受)領者，並應載明各成員分別請(受)領之項目及金額。,94
共同投標辦法,第十五條 ,共同投標廠商得標後各成員之履約實績，依各成員於共同投標協議書所標示之主辦項目及金額認定之。但由共同投標廠商於驗收後提出各成員實際履約實績者，得依其所提履約實績認定之。,83
共同投標辦法,第十六條 ,共同投標廠商之成員有本法第一百零一條第一項各款情形之一者，機關應視可歸責之事由，對各該應負責任之成員個別為通知。,56
共同投標辦法,第十七條 ,本辦法自中華民國八十八年五月二十七日施行。,21
國內廠商標價優惠實施辦法,第一條 ,本辦法依政府採購法(以下簡稱本法)第四十四條第二項規定訂定之。,31
國內廠商標價優惠實施辦法,第二條 ,本法第四十四條第一項所稱特定之採購，指機關辦理公告金額以上之採購，招標文件載明採購標的中屬於本法第四十四條第二項適用範圍之項目，並附記依同條第一項規定得以較高標價優先決標予國內廠商者。,92
國內廠商標價優惠實施辦法,第三條 ,本法第四十四條第一項所稱外國廠商，指未取得我國國籍之自然人或依外國法律設立登記之法人、機構或團體。允許廠商共同投標之特定採購，國內廠商與外國廠商共同投標，國內廠商符合第五條第三項規定者，該共同投標廠商得視同國內廠商。,108
國內廠商標價優惠實施辦法,第四條 ,本法第四十四條第二項所稱適用範圍，指經主管機關會同相關目的事業主管機關擇定，並公告於政府採購公報之工程、財物或勞務項目。前項公告，應一併載明優惠比率與優惠期限之起始日及截止日。第一項經公告之工程、財物或勞務項目，擇定之機關應定期檢討。其於優惠期限截止日前有不符合我國所締結之條約或協定、國內產製加值未達百分之五十或不合於就業或產業發展政策者，由主管機關於政府採購公報公告註銷之。機關將第一項公告項目納入招標文件，其於開標前有前項經公告註銷之情形者，應不予開標，於變更招標文件內容後再行招標。,245
國內廠商標價優惠實施辦法,第五條 ,機關辦理特定採購，應於招標文件中載明招標標的得適用標價優惠之項目，並規定各投標廠商均應於投標文件內就該等項目載明其標價。外國廠商為最低標，且其標價符合本法第五十二條第一項最低標之決標原則者，國內廠商得適用之標價優惠，以該外國廠商前項得適用標價優惠之項目之標價乘以優惠比率計算之。但國內廠商該等項目之標價未逾該外國廠商相同項目之標價者，不適用此一規定。前項情形，國內廠商之財物，屬於招標文件所載適用範圍之項目，其國內產製加值須達該項價格之百分之五十；工程或勞務，須為國內供應。第二項外國廠商標價以外國貨幣計者，依辦理決標前一辦公日臺灣銀行外匯交易收盤即期賣出匯率折算為新臺幣後，以新臺幣計算得適用之標價優惠金額。,305
國內廠商標價優惠實施辦法,第六條 ,機關辦理特定採購，應於招標文件中規定欲適用本法第四十四條第一項優惠措施之國內廠商，其投標文件應記載標價內屬於招標文件所載標價優惠之項目、國內產製加值達百分之五十或供應之事實、數量及價格，以供審查。前項國內產製加值達百分之五十或供應之事實，屬財物者，應證明確屬國內產製加值達百分之五十；屬工程或勞務者，應證明確屬國內供應。,160
國內廠商標價優惠實施辦法,第七條 ,機關辦理特定採購，外國廠商為最低標，其標價符合本法第五十二條第一項最低標之決標原則，而國內廠商符合第五條第三項規定之最低標價逾該外國廠商標價之金額，在第五條第二項所定優惠金額以內者，決標予該國內廠商；逾優惠金額者，不予洽減，決標予該外國廠商。依前項規定計算得優先決標予國內廠商之標價，於訂有底價之採購，不得逾本法第五十三條第二項規定之超底價上限；於未訂底價之採購，不得逾本法第五十四條評審委員會建議之金額。前項決標價格，均不得逾預算金額。,219
國內廠商標價優惠實施辦法,第八條 ,機關辦理特定採購，應於招標文件中規定以標價優惠得標之國內廠商，於履約期間應向機關提出與第六條有關之國內產製或供應證明文件，以供查核。依前項規定決標予國內廠商之契約並應訂明得標廠商未依契約規定提供國內產製或供應項目者，機關得採行下列措施。一、終止契約。二、解除契約。三、追償決標價高於外國廠商標價之損失。四、不發還履約保證金。五、依本法第七十二條第一項規定通知廠商限期改善、拆除、重作、退貨或換貨。六、依本法第一百零一條規定辦理。七、契約規定之其他措施。,226
國內廠商標價優惠實施辦法,第九條 ,本辦法自中華民國八十八年五月二十七日施行。,21
國安辦法條,第一條 ,本辦法依政府採購法第十七條第四項規定訂定之。,22
國安辦法條,第二條 ,機關辦理涉及國家安全之採購，其不適用我國締結之條約或協定者，得於招標文件對我國或外國廠商資格訂定限制條件；其適用我國締結之條約或協定者，得依其特別規定排除適用，並於招標文件對我國或外國廠商資格訂定限制條件。有分包廠商者，其資格限制條件亦同。機關依前項規定訂定廠商資格限制條件，應由需求、使用或承辦採購單位敘明限制之理由及其必要性，簽報機關首長或其授權人員核准。,180
國安辦法條,第三條 ,機關依前條規定對廠商資格訂定限制條件，得依採購案件之特性及實際需要，就下列事項擇定之：一、廠商之國籍或其設立登記所依據之法律。二、廠商之代表人、董事、監察人、監事、經理人或持有股份總數或資本總額逾百分之十之股東之國籍。三、廠商之資金來源及其比率限制。四、其他法令規定或經主管機關認定者。機關依前項規定訂定限制條件者，應一併載明廠商應檢附之證明文件。,174
國安辦法條,第四條 ,機關應於招標文件規定，廠商投標文件附具之前條第二項證明文件相關內容於投標後如有異動，應主動通知機關，並檢附異動後之證明文件供機關審查；有不符招標文件規定之情形者，應不決標予該廠商。機關得於契約約定廠商得標後，有招標文件所定資格限制條件之情形者，得終止契約或解除契約，並得追償損失。,140
國安辦法條,第五條 ,機關依本辦法對廠商資格訂定限制條件及審查廠商之證明文件，如有疑義，得洽請相關目的事業主管機關提供意見。,51
國安辦法條,第六條 ,本辦法自發布日施行。,10
外國廠商參與非條約協定採購處理辦法,第一條 ,本辦法依政府採購法（以下簡稱本法）第十七條第二項規定訂定之。,30
外國廠商參與非條約協定採購處理辦法,第二條 ,本辦法所稱非條約協定採購，指得不適用我國所締結之條約或協定之採購。適用我國所締結之條約或協定之採購，機關於招標文件中允許非條約協定國廠商參與者，應明定非條約協定國廠商參與之部分，視同非條約協定採購。,99
外國廠商參與非條約協定採購處理辦法,第三條 ,本辦法所稱外國廠商，指未取得我國國籍之自然人或非依我國法律設立登記之法人、機構或團體。,43
外國廠商參與非條約協定採購處理辦法,第四條 ,廠商所供應之財物或勞務，其原產地之認定，依下列原則：一、財物之原產地，依進口貨物原產地認定標準。二、勞務之原產地，除法令另有規定者外，依實際提供勞務者之國籍或登記地認定之。屬自然人者，依國籍認定之；非屬自然人者，依登記地認定之。三、兼有我國及外國財物或勞務，無法依前二款認定其歸屬者，以所占金額比率最高者歸屬之。我國廠商所供應財物或勞務之原產地非屬我國者，視同外國廠商。條約協定國廠商所供應財物或勞務之原產地為非條約協定國者，視同非條約協定國廠商。工程採購中涉及財物或勞務之提供者，其原產地之認定，準用前三項之規定。,258
外國廠商參與非條約協定採購處理辦法,第五條 ,機關辦理非條約協定採購，得視實際需要於招標文件中規定允許外國廠商參與。,35
外國廠商參與非條約協定採購處理辦法,第六條 ,機關允許外國廠商參與非條約協定採購者，得於招標文件中規定外國廠商不適用本法下列規定：一、第二十一條第四項平等受邀之機會。二、第三十七條第一項投標廠商資格。三、第五十七條第二款平等對待之規定。,95
外國廠商參與非條約協定採購處理辦法,第七條 ,主管機關依本法第十七條第三項規定公告限制或禁止特定國家或地區之廠商或產品、服務參與採購者，該等廠商或產品、服務不得參加投標或作為決標對象。,69
外國廠商參與非條約協定採購處理辦法,第七條之一,大陸地區廠商參與各機關採購，準用外國廠商之規定。,24
外國廠商參與非條約協定採購處理辦法,第八條 ,本辦法自中華民國八十八年五月二十七日施行。本辦法修正條文自發布日施行。,35
委託研究發展作業辦法,第一條 ,本辦法依政府採購法（以下簡稱本法）第二十二條第二項規定訂定之。,31
委託研究發展作業辦法,第二條 ,機關依本法第二十二條第一項第十三款辦理委託科技、技術引進、行政或學術研究發展（以下簡稱研究發展），費用在公告金額以上者，其作業依本辦法之規定。,71
委託研究發展作業辦法,第三條 ,本法第二十二條第一項第十三款所稱在專業領域具領先地位之自然人，指符合下列情形之一者：一、在相關專業領域之表現，曾獲國內外政府機關、學術機構或具有公信力之團體獎勵或表揚者。二、在相關專業領域著有專書或研究報告，經機關認有特殊表現或貢獻者。機關委託前項自然人辦理研究發展，應以該自然人為計畫主持人。,147
委託研究發展作業辦法,第四條 ,本法第二十二條第一項第十三款所稱經公告審查優勝之學術或非營利機構（以下簡稱研究機構），指以公告方式公開徵求具備研發能力之研究機構，經機關成立之審查委員會審查為優勝者。前項之公告，應公開於主管機關資訊網路。,102
委託研究發展作業辦法,第五條 ,機關依前條規定辦理委託研究發展，應依實際需要訂定研究機構之基本資格或特定資格，不得不當限制競爭；並得規定公立或非營利之研究機構免繳驗納稅證明或加入工業或商業團體之基本資格證明文件。前項委託，如無特殊需要，免收押標金、保證金。,112
委託研究發展作業辦法,第六條 ,機關擇定自然人或研究機構後，應依下列規定辦理：一、就研究目的擇定研究主題及範圍，通知自然人或研究機構提出計畫書供機關審查。二、評審計畫應訂定審查項目，並得成立審查委員會。三、審查結果不符合需要者，得不予接受或限期改正。四、計畫書經審查通過後，再辦理議價。但機關招標文件已訂明固定服務費用或費率者，依該服務費用或費率決標。,160
委託研究發展作業辦法,第七條 ,機關委託研究發展，得將其整體規劃、細部計畫及執行事項合併或分別辦理。其分別辦理者，得依本法第二十二條第一項第四款規定，將其細部計畫、執行事項作為前一階段採購之後續擴充。,84
委託研究發展作業辦法,第八條 ,機關依本辦法成立審查委員會辦理審查者，準用採購評選委員會組織準則及審議規則之規定。前項委員會辦理審查，得以會議或書面方式為之。,63
委託研究發展作業辦法,第九條 ,機關委託未達公告金額之研究發展，得準用本辦法之規定。,26
委託研究發展作業辦法,第十條 ,本辦法自發布日施行。,10
工程價格資料庫作業辦法修正條文,第一條 ,本辦法依政府採購法(以下簡稱本法)第十一條第三項規定訂定之。,30
工程價格資料庫作業辦法修正條文,第二條 ,本法第十一條第二項所稱一定金額，為新臺幣一千萬元。,25
工程價格資料庫作業辦法修正條文,第三條 ,機關依本法第十一條第二項規定傳輸資料之內容如下：一、得標廠商之契約單價。二、經機關核定之預算單價。三、其他經主管機關指定者。前項傳輸資料，其屬統包者，為得標廠商完成細部設計後，經機關核定之單價。前二項之傳輸資料，包含詳細價目表、單價分析表及資源統計表，並應依主管機關訂定之「公共工程細目編碼編訂說明」及其各章細目碼編訂規則表辦理。前項所稱資源統計表，指工程採購標案內所有資源工項與無下層單價分析之混合工項之數量及價格累計表。,212
工程價格資料庫作業辦法修正條文,第四條 ,機關得於招標文件規定，得標廠商應依機關所定期限及空白標單格式提送決標後單價電子檔至機關；得標廠商未於期限內提送者，機關應限期催告。機關至遲應於決標日起三十日內，將前條資料製作成公共工程經費電腦估價系統格式電子檔，並透過政府電子採購網傳輸至工程價格資料庫。前項傳輸期限，其屬統包者，為機關核定細部設計結果日起三十日內。,158
工程價格資料庫作業辦法修正條文,第五條 ,本辦法自中華民國一百零五年一月一日施行。,20
工程施工查核小組作業辦法,第一條 ,本辦法依政府採購法（以下簡稱本法）第七十條第四項規定訂定之。,30
工程施工查核小組作業辦法,第二條 ,工程施工查核小組（以下簡稱查核小組）進行查核時，應以現場查核為主，書面資料審查為輔。前項查核，應依行政院訂定之公共工程施工品質管理制度、相關法令及工程契約規定，並參照工程施工查核作業參考基準，查核工程品質及進度等事宜。前項參考基準，由主管機關定之。,124
工程施工查核小組作業辦法,第三條 1,查核小組之主要查核項目，得包含：一、機關之品質督導機制、監造計畫之審查紀錄、施工進度管理措施及障礙之處理。二、監造單位之監造組織、施工計畫及品質計畫之審查作業程序、材料設備抽驗及施工抽查之程序及標準、品質稽核、文件紀錄管理系統等監造計畫內容及執行情形；缺失改善追蹤及施工進度監督等之執行情形。三、廠商之品管組織、施工要領、品質管理標準、材料及施工檢驗程序、自主檢查表、不合格品之管制、矯正與預防措施、內部品質稽核、文件紀錄管理系統等品質計畫內容及執行情形；施工進度管理、趕工計畫、安全衛生及環境保護措施等之執行情形。,258
工程施工查核小組作業辦法,第三條 2,查核小組發現有下列情形時，應加以記錄：一、工程規劃設計、生態環保、材料設備、圖說規範、變更設計等有缺失。二、監造單位之建築師、技師、派駐現場人員，承攬廠商之專任工程人員、工地主任或工地負責人、品質管理人員（以下簡稱品管人員）及安全衛生人員等執行職務時，有違背相關法令及契約規定。工程施工查核各項書表格式，由主管機關定之。,160
工程施工查核小組作業辦法,第四條 ,查核小組每年應辦理工程施工查核之件數比率以不低於當年度所屬新臺幣一百萬元以上工程標案（不含補助及委託其他機關辦理案件）之百分之十為原則，且各規模之工程應查核件數如下：一、新臺幣五千萬元以上之標案：以二十件以上為原則；當年度執行工程標案未達二十件者，則全數查核。二、新臺幣一千萬元以上未達五千萬元之標案：以十五件以上為原則；當年度執行工程標案未達十五件者，則全數查核。三、新臺幣一百萬元以上未達一千萬元之標案：以十件以上為原則；當年度執行工程標案未達十件者，則全數查核。前項各款之查核件數，必要時得經查核小組設立之機關首長核准予以調整，並報主管機關備查。第一項所定金額，為採購標案之預算金額。複數決標項目之標的不同者，依個別項目之預算金額認定之。,322
工程施工查核小組作業辦法,第五條 ,查核小組應依前條規定之查核件數，視工程推動情形安排查核時機，定期辦理查核，並得不預先通知赴工地進行查核。查核委員赴工地查核時，應主動出示查核小組之書面通知及相關證明文件。查核小組辦理查核時，監造單位之建築師或技師及廠商之專任工程人員應配合到場說明。無故缺席，應按契約規定處理。,138
工程施工查核小組作業辦法,第六條 ,查核小組辦理查核時，得通知機關就指定之工程項目進行檢驗、拆驗或鑑定。涉及取樣者，應會同機關、專案管理廠商、監造單位及廠商，確認取樣方法、位置、數量及運送方式後辦理之。前項檢驗、拆驗或鑑定費用之負擔，依契約規定辦理。契約未規定，而檢驗、拆驗或鑑定結果與契約規定相符者，該費用由機關負擔；與規定不符者，該費用由廠商負擔。,158
工程施工查核小組作業辦法,第七條 ,查核成績之計算，以各查核委員評分之總和平均計算之；九十分以上者為優等，八十分以上未達九十分者為甲等，七十分以上未達八十分者為乙等，未達七十分者為丙等。前項總和平均結果有小數時，採四捨五入進位方式，整數計算之。,104
工程施工查核小組作業辦法,第八條 ,查核小組查核結果，有下列情況之一者，應列為丙等：一、混凝土結構物鑽心試體試驗結果不合格。二、路面工程瀝青混凝土鑽心試體試驗結果不合格。三、路基工程壓實度試驗結果不合格。四、主要結構與設計不符情節重大。五、主要材料設備與設計不符情節重大。六、其他缺失情節重大影響安全。前項各款規定涉及相關試驗之判定標準，依照國際標準或國家標準者，應依相關法令或契約規定之設計標準辦理。原查核成績達七十分以上者，應於試驗結果判定完成後，始通知機關查核成績；試驗結果為不合格時，其成績以六十九分計。,238
工程施工查核小組作業辦法,第九條 ,查核小組於查核時發現缺失，機關應督促監造單位及廠商限期改善，並將改善前、中、後之情形拍照留存；其應檢討改善者，機關應於期限內改善並審查完妥後，報查核小組備查。查核小組查核紀錄應於七個工作天內送機關，並應將查核結-4-果及處理情形登錄於主管機關指定之資訊網路系統列管追蹤，並得隨時派員複查。,144
工程施工查核小組作業辦法,第十條 1,機關得就查核小組之查核結果，依相關法令規定辦理相關人員之獎懲，並登錄於主管機關指定之資訊網路系統。機關得將查核成績列為工程採購以最有利標或評分及格最低標決標之履約績效評選或評分項目參考。,93
工程施工查核小組作業辦法,第十條 2,查核成績列為丙等者，機關除應依契約規定處理外，並應依個案缺失情節檢討人員之責任歸屬後，採取下列之處置：一、對所屬人員依法令為懲戒、懲處或移送司法機關。二、對負責該工程之建築師、技師、專任工程人員或工地主任，報請各該主管機關依相關法規予以懲處或移送司法機關。三、廠商有本法第一百零一條第一項各款規定之情形者，依本法第一百零一條至第一百零三條規定處理。四、通知監造單位撤換派駐現場人員。五、通知廠商依契約撤換工地負責人或品管人員或安全衛生人員。缺失未於期限內改善完成且未經查核小組同意展延期限者，機關除應依契約規定處理外，並依前項第四款或第五款規定辦理。機關未依前二項規定處置或處置不當，查核小組得通知機關或其上級機關另為適當之處置，並副知審計機關；必要時，得函送監察院。有犯罪嫌疑者，應移送該管司法機關處理。,353
工程施工查核小組作業辦法,第十一條 ,主管機關得辦理下列事項：一、定期公告查核小組查核情形。二、不定期派員查核各查核小組作業情形。三、考核各查核小組之執行績效。前項第三款查核小組執行績效之考核作業規定，由主管機關定之。,90
工程施工查核小組作業辦法,第十二條 ,查核小組得視工程性質與實際需求，另定查核補充規定。,25
工程施工查核小組作業辦法,第十三條 ,查核委員辦理查核時，應公正執行職權，不得有下列之情形：一、假藉查核之名，妨礙機關、監造單位或廠商依法及契約辦理工程施工。二、接受不當饋贈或招待。三、藉查核之便，蒐集與查核無關之資訊或資料，或要求至受查之機關授課、擔任顧問，或為其他不當之要求。四、洩漏應保密之查核時間、地點及對象。五、洩漏因查核所獲應保密之資訊或資料。六、未經查核小組指派，自行辦理查核監督。七、有不能公正執行職務之情事。,194
工程施工查核小組作業辦法,第十四條 ,本辦法自發布日施行。,10
房地產辦法,第一條 ,本辦法依政府採購法(以下簡稱本法)第二十二條第二項規定訂定之。,31
