context,question,id,answer_start,text
機關委託專業服務廠商評選及計費辦法修正條文，第十四條 ，機關委託廠商承辦專業服務，得於招標文件規定得標廠商服務費用降低或實際績效提高時，得依其情形給付廠商獎勵性報酬。前項獎勵性報酬之給付方式如下，由機關於招標文件中訂明：一、屬服務費用降低者，為所減省之契約價金金額之一定比率。二、屬實際績效提高者，依契約所載計算方式給付。前項第一款一定比率，以不逾百分之五十為限；第二款給付金額，以不逾契約價金總額或契約價金上限之百分之十為限。,關於招標文件規定就得標廠商實際績效提高時給予獎勵性報酬，該獎勵性報酬以契約價金總額或契約價金上限之多少比率為限？,valid_ 37,207,百分之十
特別採購招標決標處理辦法，第六條 ，機關依本法第一百零五條第一項第一款及第二款辦理採購之決標，應符合下列原則：一、不及與廠商簽訂契約者，應先有書面、電報或傳真協議。二、不及與廠商確定契約總價者，應先確定單價及工作範圍。三、付款條件應能維護公款支用之安全性。,機關依採購法第105條第1項第2款規定辦理採購，敘述何者為正確？,valid_ 39,57,不及與廠商簽訂契約者，應先有書面、電報或傳真協議
押保辦法全文，第九條 ，押標金之額度，得為一定金額或標價之一定比率，由機關於招標文件中擇定之。前項一定金額，以不逾預算金額或預估採購總額之百分之五為原則；一定比率，以不逾標價之百分之五為原則。但不得逾新臺幣五千萬元。採單價決標之採購，押標金應為一定金額。,押標金之額度，得為一定金額或標價之一定比率，一定比率，以不逾標價之百分之五為原則。但不得逾新臺幣多少元？,valid_ 43,103,五千萬元
機關辦理設計競賽廠商評選及計費辦法，第十四條 ，廠商之服務費用，得於契約規定於訂約後預付一部分，其餘按月或分期支付。但各次付款金額及條件應予訂明。前項預付一部分者，以不逾契約價金總額或契約價金上限之百分之三十為原則。,機關委託廠商辦理專業服務，得於契約規定於訂約後預付一部分，但以契約總額或預估給付總額之比率上限為何？,valid_ 45,99,百分之三十
招標期限標準，第三條 ，機關辦理選擇性招標之廠商資格預先審查，其公告自刊登政府株購公報日起至截止收件日止之等標期，應視案件性質與廠商準備及遞送資格文件所需時間合理訂定之。前項等標期，除本標準或我國締結之條約或協定另有規定者外，不得少於下列期限：、未達公告金額之採購：七日。、公告金額以上未達巨額之採購：十日。、巨額之採購：十四日。機關邀請第一項符合資格之廠商投標，其自邀標日起至截止投標日止之等標期，準用前條第二項規定。,機關辦理非適用WTO政府採購協定之採購選擇性招標之廠商資格預先審查，巨額之採購，其等標期（未提供電子領投標及公開閱覽）不得少於幾日？,valid_ 49,161,十四日
中央機關未達公告金額採購監辦辦法，第三條 1，主(會)計或有關單位對於前條通知，其有下列情形之一者，得不派員監辦：一、地區偏遠。二、經常性採購。三、重複性採購，已有監辦前例。四、採購標的於市場已普遍銷售。五、依本法第四十條規定洽由其他具有專業能力之機關代辦。六、利用本法第九十三條共同供應契約辦理之採購。七、以會議審查方式辦理勞務採購驗收者。八、以書面或電子化方式進行開標、比價、議價、決標及驗收程序，而以會簽主(會)計或有關單位方式處理者。,何種採購不允許採統包方式辦理？,valid_ 52,163,勞務採購
第二章招標，第三十三條，廠商之投標文件，應以書面密封，於投標截止期限前，以郵遞或專人送達招標機關或其指定之場所。前項投標文件，廠商得以電子資料傳輸方式遞送。但以招標文件已有訂明者為限，並應於規定期限前遞送正式文件。機關得於招標文件中規定允許廠商於開標前補正非契約必要之點之文件。,廠商電子投標者，應於何時將所有電子投標文件傳輸至主管機關指定之資訊系統？,valid_ 54,28,投標截止期限前
押保辦法全文，第十五條 ，履約保證金之額度，得為一定金額或契約金額之一定比率，由機關於招標文件中擇定之。前項一定金額，以不逾預算金額或預估採購總額之百分之十為原則；一定比率，以不逾契約金額之百分之十為原則。採單價決標之採購，履約保證金應為一定金額。,履約保證金以不逾契約金額百分之多少為原則？,valid_ 63,74,百分之十
第六章爭議處理，第八十五條之一，機關與廠商因履約爭議未能達成協議者，得以下列方式之一處理：一、向採購申訴審議委員會申請調解。二、向仲裁機構提付仲裁。前項調解屬廠商申請者，機關不得拒絕。前項調解屬廠商申請者，機關不得拒絕。工程及技術服務採購之調解，採購申訴審議委員會應提出調解建議或調解方案；其因機關不同意致調解不成立者，廠商提付仲裁，機關不得拒絕。採購申訴審議委員會辦理調解之程序及其效力，除本法有特別規定者外，準用民事訴訟法有關調解之規定。履約爭議調解規則，由主管機關擬訂，報請行政院核定後發布之。,機關與廠商因採購履約爭議未能達成協議者，得向採購申訴審議委員會申請？,valid_ 69,59,調解
政府採購公告及公報發行辦法，第六條 ，下列資訊得公開於採購網站，必要時並得刊登採購公報：一、本法第八十二條第一項採購申訴審議委員會之審議判斷。二、本法第八十五條之一採購申訴審議委員會之調解文書。三、未達公告金額採購之決標公告。四、與政府採購有關之法令、司法裁判、訴願決定、仲裁判斷或宣導資訊。五、財物之變賣或出租公告。六、須為公示送達而刊登之政府採購有關文書或其節本。七、其他與政府採購有關之資訊。,未達公告金額採購之決標公告？,valid_ 70,23,得公開於採購網站，必要時並得刊登採購公報
投標廠商資格與特殊或巨額採購認定標準，第四條 2，機關依第二條第二款訂定與履約能力有關之基本資格時，得依採購案件之特性及實際需要，就下列事項擇定廠商應附具之證明文件或物品：三、廠商或其受雇人、從業人員具有專門技能之證明。如政府機關或其授權機構核發之專業、專技或特許證書、執照、考試及格證書、合格證書、檢定證明或其他類似之文件。四、廠商具有維修、維護或售後服務能力之證明。如維修人員經專業訓練之證明、設立或具有或承喏於得標後一定期間内建立自有或特約維修站或場所之證明等。第一項第三款證明，除依法令就一定專門技能人員之人數為規定者外，不得對其人數予以限制。,何者係屬「與履約能力有關」之投標廠商基本資格？,valid_ 71,186,維修人員經專業訓練之證明
第一章總則，第十二條，機關辦理查核金額以上採購之開標、比價、議價、決標及驗收時，應於規定期限內，檢送相關文件報請上級機關派員監辦；上級機關得視事實需要訂定授權條件，由機關自行辦理。機關辦理未達查核金額之採購，其決標金額達查核金額者，或契約變更後其金額達查核金額者，機關應補具相關文件送上級機關備查。查核金額由主管機關定之。,機關辦理公告金額以上採購，除有特殊情形者外，應由其主(會)計及有關單位會同監辦。何者為屬監辦事項？,valid_ 87,24,開標、比價、議價、決標及驗收
